node21_img_id,original_image_name,found_path
n0102,00001654_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0102.mha
n0486,00016775_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0486.mha
n0548,00021212_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0548.mha
n0065,00015521_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0065.mha
n0531,00027299_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0531.mha
n0056,00011270_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0056.mha
n0417,00023296_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0417.mha
n1014,00005406_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1014.mha
n0195,00022260_010,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0195.mha
n0860,00006727_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0860.mha
n0563,00001673_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0563.mha
n0634,00005607_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0634.mha
n0914,00006252_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0914.mha
n0815,00010284_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0815.mha
n0481,00009528_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0481.mha
n1087,00005753_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1087.mha
n0023,00008103_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0023.mha
n0963,00027492_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0963.mha
n0297,00006253_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0297.mha
n0198,00014981_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0198.mha
n0580,00003174_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0580.mha
n0226,00026684_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0226.mha
n1123,00028545_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1123.mha
n0921,00003340_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0921.mha
n0861,00012596_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0861.mha
n0231,00028689_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0231.mha
n0825,00027156_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0825.mha
n0820,00016509_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0820.mha
n0443,00000711_008,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0443.mha
n0817,00029756_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0817.mha
n0902,00002058_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0902.mha
n0611,00004943_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0611.mha
n0831,00012374_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0831.mha
n0060,00023643_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0060.mha
n0273,00006084_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0273.mha
n0159,00011164_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0159.mha
n0842,00023027_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0842.mha
n0358,00030703_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0358.mha
n0836,00007797_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0836.mha
n0976,00020967_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0976.mha
n0462,00026469_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0462.mha
n0746,00007246_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0746.mha
n0394,00010297_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0394.mha
n0962,00019637_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0962.mha
n0272,00011353_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0272.mha
n0853,00022041_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0853.mha
n0156,00001974_011,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0156.mha
n0781,00013674_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0781.mha
n0357,00027507_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0357.mha
n0446,00015376_032,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0446.mha
n0697,00004945_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0697.mha
n1000,00000383_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1000.mha
n0303,00005415_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0303.mha
n0334,00005666_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0334.mha
n0067,00001164_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0067.mha
n0050,00007283_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0050.mha
n0953,00014356_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0953.mha
n0843,00011982_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0843.mha
n0581,00030722_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0581.mha
n0007,00008675_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0007.mha
n0430,00028463_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0430.mha
n0674,00025730_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0674.mha
n0341,00009551_018,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0341.mha
n0259,00016117_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0259.mha
n0849,00014874_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0849.mha
n1120,00010069_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1120.mha
n1124,00006639_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1124.mha
n1009,00014454_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1009.mha
n0138,00002361_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0138.mha
n0250,00019124_006,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0250.mha
n0222,00015162_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0222.mha
n0686,00011460_040,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0686.mha
n0429,00014530_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0429.mha
n0954,00003868_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0954.mha
n0906,00000361_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0906.mha
n0427,00017423_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0427.mha
n1029,00002204_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1029.mha
n0140,00015454_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0140.mha
n0689,00013193_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0689.mha
n0889,00003302_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0889.mha
n0415,00004176_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0415.mha
n0257,00012291_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0257.mha
n0284,00019271_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0284.mha
n0961,00010217_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0961.mha
n0696,00008948_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0696.mha
n0350,00017152_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0350.mha
n0526,00013894_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0526.mha
n0031,00026263_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0031.mha
n0150,00002657_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0150.mha
n0151,00019097_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0151.mha
n1069,00008626_024,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1069.mha
n0661,00015309_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0661.mha
n0332,00026556_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0332.mha
n1024,00010695_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1024.mha
n0857,00010888_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0857.mha
n0396,00014190_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0396.mha
n0772,00003704_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0772.mha
n0516,00025330_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0516.mha
n0512,00001517_006,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0512.mha
n0518,00018172_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0518.mha
n0112,00007274_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0112.mha
n0529,00026367_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0529.mha
n0220,00025707_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0220.mha
n0382,00000399_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0382.mha
n1119,00004163_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1119.mha
n0952,00013951_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0952.mha
n0141,00018712_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0141.mha
n1089,00003832_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1089.mha
n0899,00021888_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0899.mha
n0545,00027386_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0545.mha
n0438,00007065_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0438.mha
n0044,00023309_009,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0044.mha
n0916,00008326_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0916.mha
n0087,00017098_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0087.mha
n0164,00009157_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0164.mha
n0806,00017567_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0806.mha
n0828,00025822_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0828.mha
n0289,00006926_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0289.mha
n0243,00002943_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0243.mha
n0681,00030157_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0681.mha
n0448,00002919_006,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0448.mha
n0620,00005456_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0620.mha
n0075,00029207_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0075.mha
n0775,00017970_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0775.mha
n0641,00023092_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0641.mha
n0675,00030319_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0675.mha
n0648,00015113_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0648.mha
n0192,00022729_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0192.mha
n0376,00011688_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0376.mha
n1130,00005414_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1130.mha
n0467,00019682_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0467.mha
n0711,00030413_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0711.mha
n0340,00012179_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0340.mha
n0390,00022993_026,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0390.mha
n1054,00000744_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1054.mha
n0051,00006881_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0051.mha
n0073,00006480_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0073.mha
n1077,00014881_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1077.mha
n1028,00006233_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1028.mha
n0884,00019458_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0884.mha
n0757,00003759_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0757.mha
n0205,00001847_010,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0205.mha
n0718,00021942_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0718.mha
n1023,00017807_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1023.mha
n0874,00000275_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0874.mha
n0052,00023026_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0052.mha
n0380,00006471_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0380.mha
n0827,00020163_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0827.mha
n0907,00016019_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0907.mha
n0770,00028624_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0770.mha
n0816,00000372_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0816.mha
n0155,00005932_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0155.mha
n0645,00005545_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0645.mha
n1052,00012415_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1052.mha
n0767,00013256_015,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0767.mha
n0720,00020774_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0720.mha
n0959,00011847_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0959.mha
n0527,00007947_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0527.mha
n0299,00028140_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0299.mha
n0972,00022958_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0972.mha
n0752,00021494_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0752.mha
n0283,00013078_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0283.mha
n0887,00017470_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0887.mha
n0482,00023957_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0482.mha
n0695,00030541_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0695.mha
n0328,00005110_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0328.mha
n0494,00029105_027,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0494.mha
n0399,00028329_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0399.mha
n0716,00028019_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0716.mha
n0834,00028567_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0834.mha
n0025,00006586_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0025.mha
n0937,00011696_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0937.mha
n0517,00030305_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0517.mha
n0027,00027702_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0027.mha
n1107,00026885_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1107.mha
n0533,00021073_011,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0533.mha
n0840,00000695_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0840.mha
n0285,00017599_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0285.mha
n0964,00020921_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0964.mha
n0894,00013454_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0894.mha
n0832,00025368_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0832.mha
n1061,00006791_006,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n1061.mha
n0714,00019162_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0714.mha
n0188,00010369_007,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0188.mha
n0858,00018983_004,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0858.mha
n0295,00017837_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0295.mha
n0017,00004328_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0017.mha
n0897,00017569_005,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0897.mha
n0801,00003751_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0801.mha
n0133,00028067_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0133.mha
n0624,00003604_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0624.mha
n0749,00026125_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0749.mha
n0279,00018256_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0279.mha
n0367,00015568_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0367.mha
n0687,00013655_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0687.mha
n0191,00017325_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0191.mha
n0386,00025107_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0386.mha
n0468,00000992_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0468.mha
n0223,00017123_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0223.mha
n0900,00025234_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0900.mha
n0147,00029511_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0147.mha
n0656,00019965_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0656.mha
n0940,00007366_000,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0940.mha
n0956,00015562_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0956.mha
n0454,00003408_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0454.mha
n0988,00018472_001,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0988.mha
n0946,00022374_003,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0946.mha
n0500,00025777_002,/scratch/pchalla7/node21/data/cxr_images/original_data/images/n0500.mha
